,Species,Gender,Personality,Hobby,Style1,Style2,Color1,Color2
0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0
1,32.0,0.0,5.0,2.0,0.0,5.0,2.0,1.0
2,28.0,0.0,0.0,5.0,5.0,3.0,9.0,12.0
3,16.0,1.0,3.0,2.0,0.0,0.0,11.0,12.0
4,0.0,1.0,3.0,5.0,5.0,5.0,11.0,2.0
5,21.0,0.0,4.0,0.0,2.0,2.0,11.0,9.0
6,0.0,0.0,7.0,1.0,4.0,3.0,13.0,3.0
7,12.0,0.0,7.0,3.0,1.0,3.0,1.0,12.0
8,1.0,0.0,5.0,1.0,2.0,5.0,6.0,2.0
9,3.0,1.0,3.0,5.0,5.0,5.0,4.0,8.0
10,4.0,1.0,1.0,2.0,1.0,1.0,11.0,1.0
11,24.0,0.0,5.0,1.0,5.0,3.0,11.0,9.0
12,5.0,0.0,7.0,4.0,4.0,5.0,4.0,3.0
13,1.0,0.0,4.0,4.0,3.0,4.0,11.0,9.0
14,19.0,0.0,7.0,1.0,3.0,0.0,2.0,10.0
15,1.0,1.0,2.0,2.0,5.0,5.0,7.0,2.0
16,12.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0
17,17.0,0.0,5.0,5.0,2.0,5.0,4.0,11.0
18,20.0,0.0,7.0,3.0,1.0,0.0,1.0,4.0
19,34.0,0.0,5.0,2.0,2.0,0.0,6.0,12.0
20,27.0,0.0,4.0,0.0,2.0,3.0,9.0,11.0
21,6.0,0.0,4.0,3.0,3.0,2.0,11.0,5.0
22,12.0,1.0,1.0,3.0,5.0,4.0,8.0,3.0
23,13.0,1.0,2.0,2.0,0.0,5.0,6.0,12.0
24,31.0,0.0,7.0,1.0,4.0,3.0,10.0,2.0
25,9.0,1.0,2.0,5.0,0.0,5.0,6.0,3.0
26,33.0,0.0,5.0,1.0,4.0,2.0,13.0,6.0
27,8.0,1.0,3.0,5.0,5.0,1.0,13.0,1.0
28,10.0,0.0,4.0,4.0,5.0,1.0,7.0,6.0
29,2.0,1.0,6.0,0.0,3.0,3.0,3.0,2.0
30,9.0,1.0,3.0,4.0,5.0,2.0,0.0,8.0
31,6.0,0.0,7.0,3.0,4.0,3.0,10.0,9.0
32,24.0,0.0,5.0,3.0,1.0,0.0,1.0,10.0
33,6.0,1.0,3.0,5.0,5.0,5.0,2.0,10.0
34,10.0,1.0,3.0,4.0,5.0,5.0,11.0,12.0
35,18.0,0.0,4.0,0.0,2.0,3.0,9.0,12.0
36,24.0,0.0,4.0,0.0,5.0,3.0,12.0,11.0
37,33.0,0.0,5.0,5.0,2.0,2.0,9.0,8.0
38,18.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0
39,13.0,1.0,3.0,5.0,5.0,0.0,6.0,6.0
40,11.0,1.0,2.0,5.0,0.0,0.0,2.0,10.0
41,15.0,1.0,2.0,5.0,5.0,0.0,2.0,10.0
42,10.0,1.0,3.0,5.0,4.0,5.0,10.0,4.0
43,18.0,0.0,7.0,0.0,2.0,3.0,9.0,8.0
44,32.0,0.0,7.0,1.0,4.0,3.0,8.0,3.0
45,26.0,0.0,7.0,4.0,3.0,4.0,1.0,3.0
46,8.0,0.0,5.0,1.0,2.0,5.0,12.0,2.0
47,5.0,1.0,3.0,5.0,5.0,2.0,4.0,11.0
48,29.0,0.0,5.0,5.0,2.0,3.0,7.0,13.0
49,10.0,1.0,3.0,5.0,5.0,2.0,0.0,3.0
50,27.0,1.0,3.0,2.0,5.0,1.0,3.0,0.0
51,16.0,1.0,2.0,2.0,3.0,1.0,4.0,11.0
52,0.0,1.0,2.0,5.0,4.0,0.0,4.0,10.0
53,28.0,1.0,1.0,4.0,1.0,4.0,10.0,1.0
54,16.0,1.0,1.0,2.0,5.0,1.0,11.0,1.0
55,24.0,0.0,7.0,1.0,3.0,4.0,1.0,2.0
56,24.0,1.0,3.0,5.0,5.0,2.0,4.0,13.0
57,6.0,0.0,7.0,3.0,4.0,3.0,1.0,11.0
58,9.0,1.0,1.0,4.0,1.0,5.0,1.0,11.0
59,18.0,0.0,5.0,1.0,0.0,2.0,10.0,9.0
60,19.0,1.0,2.0,2.0,0.0,5.0,5.0,3.0
61,22.0,1.0,2.0,2.0,0.0,5.0,6.0,13.0
62,29.0,0.0,5.0,1.0,2.0,2.0,6.0,9.0
63,10.0,1.0,1.0,3.0,1.0,5.0,2.0,5.0
64,12.0,1.0,1.0,4.0,5.0,0.0,13.0,11.0
65,32.0,0.0,4.0,4.0,2.0,3.0,11.0,6.0
66,14.0,1.0,1.0,3.0,1.0,0.0,2.0,12.0
67,21.0,0.0,0.0,5.0,0.0,1.0,6.0,7.0
68,24.0,0.0,5.0,5.0,5.0,2.0,7.0,13.0
69,29.0,0.0,5.0,1.0,3.0,2.0,6.0,0.0
70,32.0,0.0,4.0,3.0,2.0,4.0,4.0,12.0
71,20.0,0.0,4.0,4.0,2.0,2.0,11.0,4.0
72,31.0,0.0,7.0,1.0,4.0,3.0,10.0,0.0
73,12.0,0.0,4.0,4.0,3.0,2.0,9.0,6.0
74,16.0,1.0,1.0,2.0,1.0,3.0,2.0,7.0
75,24.0,1.0,6.0,2.0,3.0,4.0,1.0,5.0
76,2.0,0.0,0.0,2.0,0.0,2.0,11.0,8.0
77,8.0,0.0,5.0,1.0,5.0,2.0,13.0,7.0
78,10.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0
79,8.0,1.0,3.0,5.0,5.0,5.0,13.0,6.0
80,15.0,0.0,4.0,0.0,2.0,3.0,11.0,9.0
81,34.0,1.0,1.0,3.0,1.0,5.0,12.0,5.0
82,28.0,1.0,6.0,0.0,4.0,3.0,11.0,6.0
83,2.0,1.0,1.0,2.0,1.0,4.0,1.0,12.0
84,29.0,0.0,5.0,1.0,2.0,2.0,9.0,12.0
85,29.0,1.0,3.0,4.0,5.0,5.0,1.0,4.0
86,33.0,0.0,7.0,3.0,4.0,3.0,10.0,12.0
87,17.0,1.0,3.0,4.0,3.0,5.0,0.0,3.0
88,19.0,0.0,7.0,0.0,2.0,3.0,7.0,12.0
89,19.0,1.0,3.0,5.0,5.0,2.0,6.0,12.0
90,4.0,1.0,2.0,2.0,0.0,0.0,2.0,11.0
91,28.0,1.0,2.0,0.0,5.0,0.0,12.0,2.0
92,29.0,0.0,4.0,0.0,5.0,2.0,0.0,6.0
93,29.0,1.0,3.0,4.0,5.0,2.0,8.0,4.0
94,19.0,1.0,6.0,4.0,4.0,3.0,2.0,11.0
95,10.0,0.0,5.0,1.0,2.0,2.0,6.0,7.0
96,14.0,1.0,2.0,2.0,3.0,4.0,6.0,11.0
97,26.0,1.0,3.0,4.0,5.0,1.0,0.0,3.0
98,14.0,1.0,1.0,4.0,3.0,1.0,11.0,8.0
99,27.0,1.0,3.0,5.0,5.0,2.0,13.0,4.0
100,31.0,1.0,6.0,4.0,0.0,4.0,11.0,6.0
101,28.0,1.0,2.0,2.0,5.0,0.0,13.0,4.0
102,2.0,1.0,1.0,4.0,1.0,1.0,2.0,12.0
103,13.0,1.0,1.0,3.0,1.0,0.0,1.0,13.0
104,1.0,1.0,1.0,0.0,1.0,0.0,13.0,0.0
105,10.0,0.0,4.0,0.0,5.0,2.0,4.0,2.0
106,11.0,0.0,4.0,0.0,5.0,2.0,4.0,2.0
107,9.0,0.0,0.0,5.0,5.0,5.0,8.0,8.0
108,0.0,1.0,1.0,2.0,1.0,5.0,2.0,12.0
109,23.0,1.0,3.0,4.0,4.0,3.0,10.0,3.0
110,11.0,1.0,3.0,5.0,5.0,3.0,13.0,0.0
111,9.0,0.0,7.0,0.0,3.0,4.0,10.0,9.0
112,14.0,0.0,0.0,2.0,4.0,3.0,10.0,7.0
113,13.0,1.0,3.0,5.0,5.0,5.0,13.0,2.0
114,34.0,1.0,1.0,4.0,5.0,1.0,3.0,0.0
115,29.0,1.0,3.0,0.0,5.0,3.0,5.0,0.0
116,31.0,1.0,2.0,5.0,0.0,2.0,11.0,4.0
117,24.0,0.0,4.0,0.0,5.0,3.0,2.0,7.0
118,29.0,0.0,5.0,1.0,5.0,2.0,2.0,1.0
119,0.0,1.0,3.0,4.0,3.0,4.0,8.0,11.0
120,11.0,1.0,3.0,5.0,1.0,5.0,3.0,11.0
121,14.0,1.0,2.0,2.0,5.0,0.0,8.0,11.0
122,19.0,1.0,6.0,4.0,4.0,3.0,1.0,5.0
123,6.0,1.0,3.0,5.0,5.0,5.0,0.0,3.0
124,23.0,0.0,7.0,1.0,3.0,4.0,10.0,11.0
125,13.0,0.0,4.0,4.0,5.0,2.0,5.0,9.0
126,19.0,1.0,3.0,5.0,5.0,1.0,2.0,12.0
127,13.0,0.0,7.0,1.0,3.0,5.0,6.0,8.0
128,22.0,1.0,1.0,0.0,4.0,3.0,11.0,1.0
129,9.0,1.0,3.0,4.0,5.0,5.0,0.0,11.0
130,21.0,1.0,6.0,3.0,1.0,4.0,1.0,5.0
131,31.0,0.0,4.0,1.0,5.0,3.0,0.0,8.0
132,34.0,1.0,1.0,0.0,5.0,1.0,12.0,7.0
133,9.0,0.0,4.0,4.0,5.0,2.0,0.0,12.0
134,5.0,0.0,5.0,1.0,2.0,2.0,13.0,8.0
135,32.0,1.0,3.0,4.0,5.0,2.0,2.0,12.0
136,23.0,1.0,2.0,3.0,0.0,5.0,2.0,13.0
137,27.0,0.0,0.0,3.0,1.0,4.0,11.0,10.0
138,26.0,0.0,5.0,5.0,2.0,0.0,4.0,9.0
139,17.0,0.0,4.0,4.0,3.0,2.0,11.0,9.0
140,29.0,0.0,7.0,1.0,3.0,4.0,2.0,1.0
141,12.0,1.0,1.0,0.0,4.0,1.0,3.0,13.0
142,11.0,0.0,5.0,1.0,5.0,2.0,6.0,4.0
143,34.0,0.0,7.0,1.0,3.0,1.0,6.0,2.0
144,27.0,0.0,7.0,1.0,3.0,4.0,9.0,1.0
145,31.0,0.0,0.0,3.0,0.0,2.0,13.0,11.0
146,14.0,1.0,2.0,2.0,0.0,5.0,2.0,4.0
147,9.0,0.0,0.0,3.0,1.0,1.0,9.0,9.0
148,29.0,0.0,5.0,1.0,2.0,4.0,3.0,11.0
149,28.0,0.0,4.0,0.0,2.0,3.0,9.0,12.0
150,29.0,1.0,1.0,0.0,5.0,4.0,3.0,8.0
151,0.0,0.0,4.0,4.0,2.0,2.0,9.0,12.0
152,29.0,1.0,2.0,2.0,3.0,5.0,6.0,10.0
153,14.0,0.0,7.0,1.0,4.0,3.0,1.0,12.0
154,26.0,0.0,4.0,0.0,3.0,2.0,6.0,9.0
155,11.0,0.0,7.0,1.0,4.0,3.0,1.0,5.0
156,10.0,0.0,4.0,4.0,5.0,2.0,13.0,8.0
157,21.0,1.0,1.0,4.0,5.0,1.0,1.0,6.0
158,6.0,1.0,2.0,2.0,5.0,0.0,2.0,12.0
159,17.0,1.0,6.0,0.0,5.0,1.0,6.0,8.0
160,24.0,0.0,7.0,0.0,3.0,5.0,9.0,10.0
161,2.0,1.0,1.0,0.0,1.0,5.0,11.0,1.0
162,2.0,1.0,1.0,3.0,1.0,5.0,1.0,5.0
163,15.0,1.0,1.0,3.0,1.0,4.0,10.0,1.0
164,27.0,0.0,7.0,1.0,4.0,3.0,6.0,12.0
165,17.0,1.0,2.0,5.0,5.0,0.0,10.0,2.0
166,17.0,1.0,1.0,4.0,1.0,5.0,5.0,0.0
167,16.0,1.0,6.0,2.0,3.0,4.0,5.0,2.0
168,18.0,1.0,1.0,0.0,1.0,5.0,6.0,8.0
169,32.0,0.0,0.0,5.0,0.0,2.0,11.0,13.0
170,14.0,1.0,6.0,3.0,1.0,5.0,7.0,2.0
171,18.0,1.0,6.0,0.0,3.0,4.0,3.0,6.0
172,29.0,1.0,3.0,4.0,5.0,0.0,2.0,13.0
173,27.0,1.0,1.0,3.0,1.0,5.0,13.0,11.0
174,30.0,1.0,3.0,4.0,5.0,5.0,6.0,3.0
175,14.0,1.0,6.0,2.0,5.0,1.0,6.0,13.0
176,28.0,1.0,3.0,5.0,5.0,0.0,0.0,13.0
177,27.0,1.0,2.0,2.0,0.0,5.0,11.0,2.0
178,2.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0
179,3.0,1.0,3.0,4.0,5.0,5.0,6.0,11.0
180,3.0,1.0,6.0,3.0,1.0,5.0,6.0,1.0
181,14.0,0.0,4.0,1.0,1.0,1.0,3.0,3.0
182,3.0,1.0,2.0,2.0,0.0,0.0,2.0,7.0
183,14.0,1.0,3.0,5.0,5.0,5.0,8.0,13.0
184,3.0,1.0,2.0,2.0,0.0,0.0,13.0,8.0
185,11.0,1.0,3.0,5.0,5.0,5.0,6.0,2.0
186,8.0,0.0,7.0,3.0,2.0,3.0,9.0,12.0
187,26.0,0.0,7.0,0.0,3.0,4.0,10.0,11.0
188,19.0,1.0,6.0,3.0,4.0,1.0,10.0,2.0
189,8.0,0.0,4.0,4.0,2.0,5.0,12.0,11.0
190,5.0,1.0,1.0,3.0,5.0,5.0,10.0,11.0
191,5.0,0.0,0.0,3.0,1.0,1.0,10.0,1.0
192,12.0,1.0,6.0,3.0,4.0,1.0,2.0,12.0
193,6.0,1.0,6.0,0.0,1.0,5.0,10.0,2.0
194,11.0,0.0,5.0,5.0,2.0,2.0,7.0,12.0
195,28.0,1.0,2.0,5.0,0.0,5.0,1.0,11.0
196,5.0,1.0,2.0,2.0,0.0,5.0,11.0,11.0
197,15.0,1.0,6.0,0.0,3.0,1.0,5.0,12.0
198,5.0,0.0,4.0,0.0,5.0,5.0,3.0,0.0
199,20.0,0.0,4.0,0.0,3.0,5.0,10.0,11.0
200,5.0,0.0,7.0,1.0,3.0,4.0,6.0,5.0
201,2.0,1.0,6.0,0.0,5.0,5.0,5.0,12.0
202,6.0,1.0,1.0,0.0,3.0,4.0,3.0,11.0
203,8.0,1.0,2.0,2.0,0.0,5.0,4.0,12.0
204,34.0,1.0,6.0,3.0,4.0,1.0,1.0,12.0
205,33.0,1.0,2.0,2.0,0.0,4.0,11.0,2.0
206,22.0,1.0,6.0,0.0,3.0,4.0,10.0,6.0
207,14.0,0.0,4.0,0.0,2.0,5.0,12.0,13.0
208,24.0,1.0,1.0,0.0,5.0,1.0,6.0,2.0
209,22.0,1.0,6.0,3.0,4.0,0.0,6.0,5.0
210,34.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
211,5.0,0.0,4.0,3.0,5.0,5.0,5.0,9.0
212,9.0,1.0,6.0,0.0,4.0,4.0,5.0,5.0
213,16.0,1.0,2.0,2.0,0.0,5.0,5.0,11.0
214,3.0,1.0,6.0,2.0,0.0,1.0,1.0,5.0
215,10.0,1.0,3.0,5.0,5.0,5.0,0.0,12.0
216,28.0,0.0,4.0,3.0,2.0,3.0,9.0,11.0
217,21.0,1.0,2.0,5.0,5.0,0.0,7.0,13.0
218,10.0,1.0,2.0,2.0,0.0,1.0,11.0,1.0
219,10.0,0.0,5.0,5.0,5.0,2.0,10.0,9.0
220,11.0,0.0,7.0,1.0,1.0,5.0,9.0,12.0
221,28.0,0.0,4.0,4.0,2.0,3.0,6.0,13.0
222,11.0,0.0,7.0,1.0,1.0,4.0,2.0,12.0
223,8.0,0.0,4.0,0.0,5.0,2.0,0.0,6.0
224,10.0,1.0,3.0,5.0,5.0,1.0,6.0,2.0
225,20.0,0.0,4.0,4.0,2.0,3.0,9.0,0.0
226,13.0,0.0,4.0,0.0,3.0,2.0,9.0,11.0
227,25.0,0.0,4.0,3.0,2.0,2.0,9.0,11.0
228,32.0,1.0,6.0,3.0,3.0,1.0,7.0,2.0
229,20.0,0.0,7.0,2.0,1.0,4.0,12.0,11.0
230,2.0,0.0,4.0,4.0,2.0,5.0,13.0,7.0
231,21.0,0.0,4.0,0.0,2.0,2.0,12.0,6.0
232,30.0,0.0,4.0,4.0,2.0,5.0,12.0,11.0
233,5.0,0.0,5.0,1.0,2.0,2.0,9.0,7.0
234,3.0,0.0,4.0,0.0,2.0,5.0,9.0,9.0
235,32.0,0.0,7.0,1.0,4.0,2.0,9.0,10.0
236,29.0,0.0,0.0,2.0,0.0,1.0,11.0,13.0
237,11.0,0.0,7.0,1.0,3.0,4.0,2.0,10.0
238,5.0,0.0,4.0,0.0,5.0,5.0,3.0,0.0
239,5.0,1.0,3.0,5.0,0.0,5.0,1.0,5.0
240,11.0,0.0,4.0,4.0,2.0,5.0,13.0,9.0
241,5.0,0.0,7.0,1.0,4.0,3.0,10.0,9.0
242,23.0,1.0,1.0,0.0,1.0,1.0,13.0,5.0
243,24.0,1.0,2.0,2.0,1.0,4.0,10.0,11.0
244,22.0,1.0,2.0,2.0,0.0,3.0,2.0,6.0
245,31.0,0.0,0.0,3.0,4.0,3.0,1.0,10.0
246,8.0,1.0,1.0,0.0,5.0,1.0,2.0,12.0
247,15.0,0.0,4.0,4.0,5.0,3.0,8.0,13.0
248,23.0,0.0,4.0,0.0,2.0,2.0,9.0,12.0
249,7.0,0.0,7.0,1.0,3.0,4.0,4.0,10.0
250,2.0,1.0,3.0,5.0,5.0,5.0,12.0,6.0
251,32.0,0.0,5.0,1.0,2.0,0.0,11.0,13.0
252,7.0,0.0,4.0,4.0,2.0,5.0,12.0,7.0
253,29.0,1.0,6.0,4.0,0.0,1.0,2.0,7.0
254,25.0,1.0,1.0,5.0,1.0,5.0,1.0,12.0
255,1.0,1.0,6.0,0.0,3.0,4.0,11.0,1.0
256,8.0,0.0,4.0,4.0,5.0,5.0,3.0,13.0
257,5.0,0.0,7.0,3.0,1.0,3.0,12.0,1.0
258,13.0,0.0,7.0,1.0,3.0,1.0,1.0,8.0
259,21.0,1.0,3.0,5.0,5.0,2.0,13.0,8.0
260,28.0,0.0,7.0,3.0,2.0,4.0,11.0,13.0
261,1.0,0.0,5.0,1.0,3.0,1.0,8.0,10.0
262,13.0,1.0,3.0,4.0,5.0,3.0,5.0,7.0
263,19.0,1.0,3.0,4.0,5.0,5.0,8.0,7.0
264,15.0,0.0,0.0,3.0,1.0,3.0,11.0,4.0
265,11.0,0.0,5.0,1.0,5.0,2.0,13.0,12.0
266,7.0,0.0,5.0,1.0,5.0,2.0,8.0,11.0
267,2.0,0.0,0.0,2.0,2.0,0.0,8.0,6.0
268,19.0,0.0,4.0,0.0,2.0,5.0,4.0,7.0
269,32.0,0.0,5.0,1.0,2.0,2.0,11.0,4.0
270,32.0,0.0,7.0,1.0,3.0,4.0,10.0,0.0
271,3.0,1.0,2.0,5.0,5.0,0.0,0.0,11.0
272,16.0,1.0,1.0,2.0,0.0,1.0,8.0,2.0
273,28.0,0.0,5.0,1.0,2.0,0.0,2.0,11.0
274,8.0,0.0,4.0,4.0,3.0,2.0,11.0,0.0
275,24.0,0.0,5.0,1.0,2.0,4.0,9.0,11.0
276,26.0,1.0,6.0,3.0,3.0,1.0,6.0,11.0
277,26.0,0.0,0.0,2.0,4.0,1.0,1.0,11.0
278,12.0,1.0,2.0,2.0,3.0,0.0,8.0,13.0
279,31.0,1.0,6.0,3.0,4.0,5.0,4.0,11.0
280,2.0,0.0,5.0,1.0,2.0,5.0,11.0,9.0
281,3.0,0.0,5.0,5.0,3.0,4.0,1.0,12.0
282,29.0,0.0,5.0,1.0,2.0,5.0,6.0,3.0
283,6.0,0.0,0.0,5.0,1.0,5.0,7.0,13.0
284,11.0,0.0,5.0,3.0,2.0,5.0,9.0,7.0
285,8.0,1.0,2.0,2.0,5.0,5.0,8.0,13.0
286,32.0,0.0,4.0,0.0,2.0,3.0,6.0,13.0
287,10.0,0.0,7.0,1.0,3.0,4.0,10.0,1.0
288,14.0,1.0,3.0,5.0,5.0,0.0,13.0,12.0
289,27.0,1.0,3.0,2.0,0.0,5.0,2.0,11.0
290,14.0,0.0,5.0,1.0,2.0,4.0,6.0,9.0
291,8.0,1.0,3.0,5.0,5.0,5.0,6.0,2.0
292,5.0,1.0,3.0,5.0,5.0,5.0,2.0,7.0
293,5.0,0.0,7.0,1.0,1.0,3.0,5.0,2.0
294,26.0,0.0,7.0,1.0,4.0,3.0,1.0,5.0
295,11.0,1.0,6.0,3.0,3.0,1.0,0.0,8.0
296,14.0,1.0,3.0,4.0,3.0,5.0,12.0,5.0
297,28.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0
298,5.0,1.0,6.0,4.0,3.0,1.0,1.0,5.0
299,30.0,0.0,0.0,3.0,1.0,0.0,10.0,13.0
300,19.0,0.0,0.0,5.0,1.0,4.0,1.0,10.0
301,22.0,1.0,3.0,4.0,5.0,2.0,2.0,7.0
302,30.0,0.0,4.0,3.0,3.0,4.0,10.0,1.0
303,14.0,1.0,2.0,2.0,5.0,0.0,2.0,7.0
304,32.0,1.0,1.0,0.0,1.0,5.0,2.0,11.0
305,24.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0
306,27.0,1.0,2.0,2.0,0.0,5.0,11.0,13.0
307,3.0,0.0,7.0,1.0,3.0,1.0,7.0,10.0
308,18.0,1.0,1.0,0.0,5.0,1.0,13.0,1.0
309,16.0,0.0,0.0,2.0,0.0,1.0,9.0,11.0
310,24.0,1.0,2.0,2.0,0.0,1.0,2.0,7.0
311,4.0,1.0,3.0,2.0,5.0,1.0,1.0,11.0
312,17.0,1.0,6.0,3.0,4.0,1.0,9.0,4.0
313,33.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0
314,20.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0
315,22.0,1.0,2.0,3.0,5.0,0.0,2.0,11.0
316,19.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0
317,5.0,0.0,5.0,3.0,2.0,2.0,9.0,11.0
318,33.0,1.0,2.0,2.0,0.0,5.0,7.0,5.0
319,29.0,0.0,5.0,4.0,2.0,0.0,7.0,9.0
320,5.0,1.0,2.0,5.0,0.0,5.0,13.0,0.0
321,32.0,0.0,4.0,3.0,5.0,3.0,12.0,0.0
322,24.0,1.0,2.0,2.0,5.0,0.0,11.0,13.0
323,26.0,0.0,4.0,4.0,5.0,1.0,7.0,12.0
324,19.0,0.0,4.0,3.0,1.0,5.0,7.0,2.0
325,11.0,1.0,2.0,2.0,0.0,5.0,0.0,2.0
326,23.0,0.0,0.0,3.0,2.0,0.0,7.0,13.0
327,32.0,1.0,2.0,5.0,0.0,1.0,6.0,13.0
328,10.0,1.0,6.0,0.0,5.0,1.0,7.0,2.0
329,15.0,1.0,3.0,4.0,5.0,2.0,5.0,2.0
330,23.0,1.0,3.0,5.0,5.0,0.0,11.0,4.0
331,34.0,0.0,4.0,3.0,2.0,2.0,2.0,12.0
332,0.0,1.0,2.0,5.0,1.0,5.0,3.0,6.0
333,29.0,1.0,2.0,2.0,0.0,5.0,1.0,2.0
334,1.0,0.0,7.0,0.0,5.0,5.0,6.0,13.0
335,17.0,0.0,7.0,0.0,1.0,4.0,11.0,13.0
336,3.0,1.0,2.0,5.0,0.0,5.0,6.0,5.0
337,30.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0
338,28.0,1.0,3.0,5.0,5.0,0.0,6.0,4.0
339,27.0,0.0,5.0,5.0,2.0,3.0,7.0,12.0
340,26.0,1.0,2.0,3.0,5.0,0.0,8.0,6.0
341,32.0,1.0,1.0,3.0,1.0,0.0,1.0,13.0
342,31.0,0.0,4.0,4.0,5.0,5.0,13.0,0.0
343,12.0,1.0,2.0,2.0,5.0,3.0,2.0,11.0
344,5.0,1.0,2.0,2.0,0.0,5.0,11.0,2.0
345,8.0,1.0,3.0,5.0,5.0,2.0,4.0,12.0
346,4.0,1.0,3.0,4.0,5.0,5.0,3.0,0.0
347,21.0,0.0,4.0,3.0,2.0,5.0,0.0,13.0
348,32.0,0.0,4.0,4.0,2.0,5.0,6.0,10.0
349,20.0,0.0,0.0,3.0,5.0,4.0,13.0,6.0
350,4.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0
351,5.0,0.0,5.0,3.0,0.0,1.0,1.0,5.0
352,14.0,1.0,2.0,5.0,0.0,5.0,13.0,4.0
353,23.0,0.0,5.0,1.0,2.0,0.0,10.0,6.0
354,8.0,0.0,0.0,5.0,1.0,0.0,11.0,10.0
355,5.0,0.0,5.0,3.0,5.0,2.0,6.0,13.0
356,30.0,1.0,2.0,2.0,0.0,5.0,11.0,6.0
357,32.0,0.0,7.0,2.0,3.0,4.0,0.0,5.0
358,2.0,1.0,2.0,2.0,5.0,5.0,13.0,8.0
359,27.0,1.0,6.0,3.0,1.0,3.0,1.0,5.0
360,13.0,0.0,4.0,4.0,2.0,3.0,1.0,12.0
361,29.0,0.0,7.0,1.0,4.0,1.0,1.0,11.0
362,31.0,0.0,7.0,0.0,3.0,4.0,6.0,3.0
363,7.0,0.0,7.0,1.0,4.0,2.0,4.0,9.0
364,5.0,1.0,1.0,0.0,1.0,5.0,1.0,5.0
365,28.0,0.0,5.0,1.0,2.0,4.0,6.0,11.0
366,13.0,1.0,3.0,4.0,0.0,5.0,13.0,8.0
367,2.0,0.0,5.0,1.0,2.0,5.0,9.0,11.0
368,3.0,0.0,5.0,1.0,5.0,2.0,9.0,2.0
369,33.0,1.0,2.0,5.0,0.0,5.0,2.0,10.0
370,2.0,0.0,0.0,3.0,5.0,2.0,11.0,8.0
371,15.0,0.0,7.0,0.0,3.0,4.0,7.0,10.0
372,31.0,0.0,4.0,1.0,5.0,2.0,8.0,11.0
373,4.0,1.0,1.0,2.0,1.0,0.0,7.0,2.0
374,19.0,0.0,5.0,2.0,0.0,5.0,13.0,8.0
375,16.0,0.0,7.0,2.0,4.0,1.0,10.0,9.0
376,34.0,0.0,7.0,0.0,4.0,3.0,5.0,10.0
377,8.0,1.0,1.0,5.0,5.0,1.0,13.0,4.0
378,27.0,1.0,3.0,4.0,5.0,4.0,7.0,2.0
379,10.0,1.0,3.0,5.0,5.0,5.0,8.0,11.0
380,20.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0
381,14.0,1.0,1.0,0.0,5.0,5.0,2.0,10.0
382,11.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0
383,31.0,0.0,5.0,1.0,1.0,4.0,11.0,6.0
384,34.0,0.0,7.0,1.0,3.0,1.0,2.0,7.0
385,31.0,0.0,7.0,1.0,2.0,4.0,12.0,9.0
386,19.0,0.0,5.0,1.0,1.0,5.0,12.0,5.0
387,34.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0
388,21.0,0.0,7.0,1.0,1.0,3.0,8.0,13.0
389,9.0,1.0,6.0,3.0,1.0,4.0,10.0,5.0
390,25.0,1.0,3.0,4.0,5.0,2.0,2.0,13.0
